,mutual_information,mutual_information_rank,tree_importance,tree_importance_rank,combined_rank,source_variable
INJURY72__2,0.0020375322087473613,459.0,0.0002291555518532972,474.0,466.5,INJURY72
GPMED9__2,0.0,601.0,0.0005661924798898516,334.0,467.5,GPMED9
PRESCR11__1,0.0020313994828518034,460.0,0.00022605018798815574,477.0,468.5,PRESCR11
EDPRIM__4,0.0,601.0,0.0005563226489235609,337.0,469.0,EDPRIM
PRESCR4__5,0.0,601.0,0.0005522212923347108,338.0,469.5,PRESCR4
ADVTRIAG__Missing,0.0,601.0,0.000541741803486633,339.0,470.0,ADVTRIAG
INJPOISAD__Missing,0.0,601.0,0.0005294747998079026,341.0,471.0,INJPOISAD
PAINSCALE__10,0.0,601.0,0.0005272681854277899,342.0,471.5,PAINSCALE
RX8V1C2__040,0.003967829007907042,338.0,7.521190749473312e-05,605.0,471.5,RX8V1C2
CATRIAGE__Missing,0.00011105704772718106,589.0,0.00047519207195136537,355.0,472.0,CATRIAGE
RX8V1C2__218,0.006949168072298173,234.0,2.0274625435854517e-05,711.0,472.5,RX8V1C2
COMSTAT1__2,0.0,601.0,0.00051863690052458,344.0,472.5,COMSTAT1
RX1V2C3__430,0.003283103847944835,374.0,0.00010461364404629642,572.0,473.0,RX1V2C3
INJURY__2,0.0006915191270477905,559.0,0.00039689663545697815,389.0,474.0,INJURY
RX14V3C1__frequency,0.002247301737007934,441.0,0.00018396758969023173,508.0,474.5,RX14V3C1
PAYTYPER__7,0.0005846172497121493,571.0,0.00041734625123300784,378.0,474.5,PAYTYPER
GPMED17__1,0.005941128071162538,262.0,2.6961535116634223e-05,688.0,475.0,GPMED17
PAINSCALE__3,0.0008532410235384535,545.0,0.0003659341267586156,405.0,475.0,PAINSCALE
COMSTAT13__2,0.006211051546740842,254.0,2.4125483820521583e-05,698.0,476.0,COMSTAT13
NOCHRON__2,0.002520718498205232,422.0,0.0001508823636758995,531.0,476.5,NOCHRON
COMSTAT8__3,0.00612952419390167,255.0,2.3995496217106186e-05,699.0,477.0,COMSTAT8
COMSTAT14__3,0.005372053516595754,281.0,3.16445649721947e-05,675.0,478.0,COMSTAT14
COMSTAT2__2,8.884429196376331e-05,591.0,0.0004427010393745531,368.0,479.5,COMSTAT2
RX4V3C2__frequency,0.0,601.0,0.0004653053937949431,361.0,481.0,RX4V3C2
PAINSCALE__9,0.0,601.0,0.0004568037973093282,363.0,482.0,PAINSCALE
HHSMUE__Missing,0.0,601.0,0.0004558872571029716,364.0,482.5,HHSMUE
PAINSCALE__2,0.00206927706612392,457.0,0.00018261987212752736,509.0,483.0,PAINSCALE
PAINSCALE__5,0.001063328413606568,528.0,0.00029533360665438135,440.0,484.0,PAINSCALE
RX6V1C2__133,0.005664477082508279,274.0,2.4632101529971127e-05,694.0,484.0,RX6V1C2
PRDIAG1__Missing,0.0027635770162319773,403.0,0.00011185797534287303,565.0,484.0,PRDIAG1
RX3V3C3__197,0.001974734437033776,464.0,0.0001849860045386725,506.0,485.0,RX3V3C3
INJURY__Missing,0.0,601.0,0.00043675377563033276,369.0,485.0,INJURY
INJPOISAD__5,0.0006689141329545567,565.0,0.0003605178321204648,408.0,486.5,INJPOISAD
PRESCR12__5,0.002915854048048949,391.0,9.55192260309402e-05,584.0,487.5,PRESCR12
DIAGSCRN__2,0.0,601.0,0.0004268134021027926,374.0,487.5,DIAGSCRN
COMSTAT3__2,0.0012664402596374025,519.0,0.0002567925908988881,458.0,488.5,COMSTAT3
RX3V2C3__064,0.0017447915011450377,483.0,0.00019660618994320786,498.0,490.5,RX3V2C3
EDPRIM__3,0.0,601.0,0.00041195030973459454,381.0,491.0,EDPRIM
VMONTH__9,0.0,601.0,0.000410645348934418,382.0,491.5,VMONTH
RX3V1C3__113,0.0044671593620904115,319.0,3.597319011988344e-05,664.0,491.5,RX3V1C3
CONTSUB4__5,0.0036204562627006887,356.0,5.607532079034827e-05,628.0,492.0,CONTSUB4
EMRED__Missing,0.0,601.0,0.00040754694359454793,384.0,492.5,EMRED
CONTSUB3__2,0.0008540034422406251,544.0,0.0002920948073469448,443.0,493.5,CONTSUB3
EDPTOR__Missing,0.0,601.0,0.0004042359275358735,387.0,494.0,EDPTOR
RX5V1C2__081,0.0023763131067338072,431.0,0.00011939089354232831,563.0,497.0,RX5V1C2
IMMEDR__0,0.0012412942402595384,521.0,0.00021859118361965967,482.0,501.5,IMMEDR
RX17V1C1__133,0.003879705710992498,342.0,3.846043131434152e-05,661.0,501.5,RX17V1C1
HIVTEST__Yes,0.0,601.0,0.0003739922668617718,402.0,501.5,HIVTEST
RX6V1C2__115,0.003514504282990938,365.0,4.8849216140815186e-05,640.0,502.5,RX6V1C2
RX6V1C2__097,0.004875209291666627,296.0,2.0441315335472015e-05,709.0,502.5,RX6V1C2
RX1V3C3__203,0.0018383924061691204,477.0,0.0001511367203228514,530.0,503.5,RX1V3C3
PRESCR14__1,0.0035238094264440356,364.0,4.600961819695913e-05,646.0,505.0,PRESCR14
BLADCATH__Yes,3.6928690219095728e-06,600.0,0.0003487395626386593,413.0,506.5,BLADCATH
COMSTAT9__3,0.005795472489638298,269.0,1.2154883084975234e-05,746.0,507.5,COMSTAT9
CONTSUB2__7,0.002332115946518165,433.0,9.661671414979522e-05,582.0,507.5,CONTSUB2
RESIDNCE__4,0.0,601.0,0.0003449373609852975,415.0,508.0,RESIDNCE
COMSTAT4__3,0.0027286216630715288,409.0,7.213810955849079e-05,607.0,508.0,COMSTAT4
COMSTAT6__2,0.0019809788613873724,463.0,0.0001287045391453484,555.0,509.0,COMSTAT6
RESIDNCE__3,0.0006125822544194026,568.0,0.00026583333064415446,451.0,509.5,RESIDNCE
RX1V2C3__433,0.004636674491592441,312.0,2.1283482431776672e-05,708.0,510.0,RX1V2C3
CONTSUB1__4,0.0,601.0,0.0003369316795161727,420.0,510.5,CONTSUB1
GPMED16__1,0.0038343244945018284,344.0,3.140569134736042e-05,677.0,510.5,GPMED16
RX3V1C2__001,0.002935856132339376,390.0,5.448548324433801e-05,631.0,510.5,RX3V1C2
PAINSCALE__6,0.0,601.0,0.00033547281510629053,421.0,511.0,PAINSCALE
PROC__2,0.0,601.0,0.0003316625284796094,423.0,512.0,PROC
CONTSUB7__2,0.0015464288004582993,497.0,0.00015352327794193013,528.0,512.5,CONTSUB7
RX8V1C2__001,0.0035007875842083536,366.0,3.924590144715393e-05,659.0,512.5,RX8V1C2
EHRINSE__Missing,0.0,601.0,0.00033106461100283936,424.0,512.5,EHRINSE
CONTSUB13__2,0.004688274694648609,307.0,1.7052293370242696e-05,719.0,513.0,CONTSUB13
GPMED10__2,0.0007360207470568092,554.0,0.0002297297085906154,473.0,513.5,GPMED10
COMSTAT15__1,0.001507791855968943,503.0,0.00016102724522032687,525.0,514.0,COMSTAT15
RX5V1C2__115,0.0,601.0,0.0003231803601658764,429.0,515.0,RX5V1C2
RX1V1C3__057,0.0012906610764258364,517.0,0.00017094818268272038,514.0,515.5,RX1V1C3
RACERETH__4,0.0,601.0,0.0003195965127366798,431.0,516.0,RACERETH
PRESCR8__3,0.004735925154164988,304.0,1.5948205604333093e-05,730.0,517.0,PRESCR8
PRESCR13__5,0.002728824620853443,408.0,5.72419188293778e-05,627.0,517.5,PRESCR13
CONTSUB8__2,0.0025369996918214177,420.0,6.465363335477514e-05,616.0,518.0,CONTSUB8
COMSTAT12__2,0.0032849939422665564,373.0,3.7316792939991045e-05,663.0,518.0,COMSTAT12
RX4V1C2__122,0.0,601.0,0.0003033565286277317,436.0,518.5,RX4V1C2
INJURY72__3,0.0,601.0,0.000300103880636951,437.0,519.0,INJURY72
RACEUN__3,0.0,601.0,0.0002982410552748216,438.0,519.5,RACEUN
RX4V1C2__087,0.005842511149903418,265.0,4.36634064380813e-06,778.0,521.5,RX4V1C2
RX2V3C3__203,0.0007125491274029283,556.0,0.00021242186528899133,489.0,522.5,RX2V3C3
RX17V1C1__057,0.002762960299930617,404.0,4.843474294370842e-05,641.0,522.5,RX17V1C1
GPMED16__2,0.0024792915407922944,424.0,6.089782987973352e-05,623.0,523.5,GPMED16
RX3V1C2__057,0.0006724173039158732,563.0,0.00021656091670477798,485.0,524.0,RX3V1C2
INJURY_ENC__2,0.0,601.0,0.0002667839423738147,450.0,525.5,INJURY_ENC
TOTPROC__3,0.0006849902086871751,561.0,0.00021028910049358473,491.0,526.0,TOTPROC
RX2V2C3__433,0.0013927311171306744,507.0,0.00013941805217383818,545.0,526.0,RX2V2C3
RX17V1C1__122,0.0026486944592005734,415.0,4.9497524245636984e-05,638.0,526.5,RX17V1C1
RX1CAT3__203,0.0,601.0,0.00026305497643194754,453.0,527.0,RX1CAT3
PRESCR9__2,0.0022359280842836338,442.0,6.75821933684217e-05,612.0,527.0,PRESCR9
INJPOISAD__2,0.0021977242539328312,446.0,7.132365587935512e-05,610.0,528.0,INJPOISAD
INCSHX__Missing,0.00024562038122644125,586.0,0.0002315024662467873,470.0,528.0,INCSHX
RX2V2C3__265,0.0057200934985186525,272.0,0.0,785.0,528.5,RX2V2C3
PRESCR11__5,0.0007052532282749713,557.0,0.000194651461677966,500.0,528.5,PRESCR11
WIRELESS__Missing,0.0,601.0,0.0002583278027783419,456.0,528.5,WIRELESS
PRESCR14__2,0.0037234754639465795,352.0,2.246819610770955e-05,705.0,528.5,PRESCR14
CONTSUB16__4,0.002325519860894465,436.0,6.0958657108848164e-05,622.0,529.0,CONTSUB16
PAYTYPER__5,8.243408128616458e-05,592.0,0.00023913340279070036,468.0,530.0,PAYTYPER
PAINSCALE__4,0.0,601.0,0.0002565120750306092,459.0,530.0,PAINSCALE
PAYSELF__Yes,0.0,601.0,0.0002481188565581836,462.0,531.5,PAYSELF
KIOSELCHK__Missing,0.0,601.0,0.00024710976958671106,463.0,532.0,KIOSELCHK
RX4V1C2__358,0.005398735546632505,280.0,0.0,785.0,532.5,RX4V1C2
TRTCX__Yes,0.00048058835584652293,575.0,0.0002113774923062008,490.0,532.5,TRTCX
RX7V1C2__087,0.005016018496271757,293.0,4.85100273936764e-06,773.0,533.0,RX7V1C2
COMSTAT10__2,0.002296946202942074,440.0,5.86167523818379e-05,626.0,533.0,COMSTAT10
SURGDAY__4,0.0,601.0,0.00024386951088363668,465.0,533.0,SURGDAY
CONTSUB2__4,0.0,601.0,0.00024202807444646641,466.0,533.5,CONTSUB2
CONTSUB11__4,0.0030129942254877307,386.0,2.870949492022103e-05,684.0,535.0,CONTSUB11
COMSTAT4__2,6.808070915487185e-05,594.0,0.0002223572992642626,479.0,536.5,COMSTAT4
CONTSUB11__5,0.004502463847469329,317.0,8.608197840825914e-06,757.0,537.0,CONTSUB11
TOTCHRON__9,0.0,601.0,0.00022717221944010328,475.0,538.0,TOTCHRON
RX2V1C3__057,0.0,601.0,0.00022701320612308906,476.0,538.5,RX2V1C3
BEDREG__Missing,0.0,601.0,0.000223122963548057,478.0,539.5,BEDREG
RX2V2C3__065,0.0006312982505731757,567.0,0.00017139673539061712,513.0,540.0,RX2V2C3
RX7V1C2__133,0.004535442296228709,316.0,5.420079415922298e-06,765.0,540.5,RX7V1C2
CONTSUB5__2,0.0,601.0,0.0002220160438615632,481.0,541.0,CONTSUB5
PRESCR16__1,0.001869254397508735,473.0,7.062250575471544e-05,611.0,542.0,PRESCR16
GPMED15__2,0.0007646903208751166,550.0,0.0001463959607828847,537.0,543.5,GPMED15
RX3CAT3__203,0.0,601.0,0.00021371107000248395,487.0,544.0,RX3CAT3
PRESCR15__1,0.0015187518808814637,501.0,8.909389387238938e-05,588.0,544.5,PRESCR15
RX8V1C2__242,0.004705582704949807,305.0,0.0,785.0,545.0,RX8V1C2
CONTSUB1__3,0.0020670216219120796,458.0,5.215739033400127e-05,635.0,546.5,CONTSUB1
RX1CAT3__185,0.004655451827628054,308.0,0.0,785.0,546.5,RX1CAT3
CONTSUB5__7,0.0034830472984459515,369.0,1.6844332153799928e-05,725.0,547.0,CONTSUB5
RX7V1C2__122,0.0,601.0,0.000201214882163828,494.0,547.5,RX7V1C2
PRESCR10__5,0.0008419012480436194,546.0,0.0001330089360006701,550.0,548.0,PRESCR10
RX2CAT3__204,0.0,601.0,0.000200093977124419,495.0,548.0,RX2CAT3
PRESCR3__2,0.0,601.0,0.00019881741176817588,496.0,548.5,PRESCR3
RX1V2C3__065,0.0018365015082855152,478.0,6.272061007735214e-05,620.0,549.0,RX1V2C3
CONTSUB7__4,0.0008622064563090781,542.0,0.00012364615615073705,559.0,550.5,CONTSUB7
CONTSUB13__4,0.003814540160899549,347.0,8.845555453394354e-06,755.0,551.0,CONTSUB13
RX3V1C2__081,0.0,601.0,0.00019151434551502783,502.0,551.5,RX3V1C2
RX1CAT3__270,0.004454866891582476,320.0,0.0,785.0,552.5,RX1CAT3
GPMED5__3,0.0006814577683633694,562.0,0.0001407258696584863,543.0,552.5,GPMED5
GPMED4__3,0.0,601.0,0.00018904912472288867,504.0,552.5,GPMED4
RX2V1C3__040,0.000854893893378561,543.0,0.00011603961654103289,564.0,553.5,RX2V1C3
CONTSUB2__5,0.004443240706945462,323.0,0.0,785.0,554.0,CONTSUB2
COMSTAT11__3,0.004389352615746134,324.0,0.0,785.0,554.5,COMSTAT11
RX1CAT3__197,0.0010041043979607256,534.0,0.00010341834855093448,575.0,554.5,RX1CAT3
RX3V1C2__105,0.0,601.0,0.0001823852280880423,510.0,555.5,RX3V1C2
CONTSUB4__8,0.00158081314318137,495.0,6.393622481263276e-05,617.0,556.0,CONTSUB4
RX4V1C2__001,0.001912454803924435,469.0,4.657920011204778e-05,644.0,556.5,RX4V1C2
GPMED12__2,0.0,601.0,0.00017721687171387286,512.0,556.5,GPMED12
PRESCR15__5,0.0016631527093298182,491.0,5.905789269003851e-05,625.0,558.0,PRESCR15
RX4V1C2__057,0.0,601.0,0.00017086292705117433,515.0,558.0,RX4V1C2
GPMED11__2,0.0,601.0,0.00017022735238808346,516.0,558.5,GPMED11
GPMED6__3,0.0,601.0,0.00017021677804342984,517.0,559.0,GPMED6
CONTSUB11__8,0.004045187697722996,334.0,0.0,785.0,559.5,CONTSUB11
RX3CAT3__197,0.0,601.0,0.00016506885416402934,522.0,561.5,RX3CAT3
MRICONTRAST__1,0.0,601.0,0.0001566273222596131,527.0,564.0,MRICONTRAST
RX8V1C2__113,0.003194369467232727,377.0,9.624457820513865e-06,753.0,565.0,RX8V1C2
CONTSUB10__4,0.002140036484442609,452.0,2.9987445065084206e-05,681.0,566.5,CONTSUB10
CONTSUB1__8,0.00377362300198425,348.0,0.0,785.0,566.5,CONTSUB1
RX2V3C3__204,0.0008297455268484466,547.0,9.327686136728493e-05,586.0,566.5,RX2V3C3
PRESCR7__2,0.0,601.0,0.00014976853110648032,533.0,567.0,PRESCR7
RX3V2C3__065,0.0,601.0,0.00014836418115325738,535.0,568.0,RX3V2C3
RX1CAT3__433,0.0019136401002908254,468.0,3.3292304588407995e-05,669.0,568.5,RX1CAT3
CONTSUB4__4,0.0,601.0,0.00014810112615809893,536.0,568.5,CONTSUB4
COMSTAT14__2,0.0015107513665990613,502.0,5.2054822019326116e-05,636.0,569.0,COMSTAT14
EHRINSE__3,0.0,601.0,0.00014577143655678673,538.0,569.5,EHRINSE
RX2CAT3__203,0.0,601.0,0.00014358294450505623,539.0,570.0,RX2CAT3
RX4V1C2__133,0.002455930524475347,425.0,1.821012129022947e-05,716.0,570.5,RX4V1C2
RX2CAT3__433,0.0016180854434977299,493.0,4.3236311914485794e-05,648.0,570.5,RX2CAT3
PRESCR1__2,0.0,601.0,0.0001428081353700601,541.0,571.0,PRESCR1
CONTSUB6__5,0.0035884852015193314,359.0,0.0,785.0,572.0,CONTSUB6
TOTCHRON__Missing,0.0,601.0,0.0001380560095543686,546.0,573.5,TOTCHRON
RX7V1C2__115,0.001276864244674103,518.0,5.589612631083847e-05,630.0,574.0,RX7V1C2
RX8V1C2__122,0.0,601.0,0.0001370826176604538,547.0,574.0,RX8V1C2
RX4V1C2__081,0.0,601.0,0.00013704858892008495,548.0,574.5,RX4V1C2
IMMEDR__5,0.00045482665525087285,577.0,0.00010372341874008366,574.0,575.5,IMMEDR
GPMED10__3,0.0017842156320002633,480.0,3.2820010020189025e-05,672.0,576.0,GPMED10
CONTSUB5__4,0.0,601.0,0.00013122621109051052,552.0,576.5,CONTSUB5
SURGDAY__3,0.0,601.0,0.0001300585919690964,553.0,577.0,SURGDAY
RX1CAT3__430,1.3474710876204554e-05,598.0,0.00012534835828895065,558.0,578.0,RX1CAT3
RX2V3C3__197,0.0,601.0,0.0001264015938101871,557.0,579.0,RX2V3C3
PRDIAG5__Yes,0.0010962624025971923,526.0,5.3996149448971125e-05,634.0,580.0,PRDIAG5
RX3V3C3__204,0.0,601.0,0.00012024364856628192,561.0,581.0,RX3V3C3
RX17V1C1__001,0.0031496077920878385,379.0,0.0,785.0,582.0,RX17V1C1
RX2V1C3__331,0.0031297623928383533,380.0,0.0,785.0,582.5,RX2V1C3
RX8V1C2__097,0.002811521475460488,398.0,5.007486265830749e-06,770.0,584.0,RX8V1C2
RX7V1C2__057,0.0,601.0,0.00011008603992175038,567.0,584.0,RX7V1C2
RX4V1C2__040,0.0,601.0,0.00010732430330750198,568.0,584.5,RX4V1C2
RX1V1C3__040,0.0,601.0,0.00010727677283782456,569.0,585.0,RX1V1C3
TOTCHRON__11,0.0017821124114165698,481.0,2.59890863119796e-05,690.0,585.5,TOTCHRON
COMSTAT1__3,0.0,601.0,0.00010524116352262296,571.0,586.0,COMSTAT1
RX6V1C2__081,0.0010755105227875372,527.0,4.429231273854084e-05,647.0,587.0,RX6V1C2
RX2CAT3__197,0.0,601.0,0.00010282172466996795,576.0,588.5,RX2CAT3
COMSTAT3__3,0.0017316319441766925,484.0,2.5295575977608745e-05,693.0,588.5,COMSTAT3
RX3CAT3__265,0.0020119276570433886,461.0,1.7181828941049544e-05,717.0,589.0,RX3CAT3
CONTSUB4__7,0.0007029674118268492,558.0,6.171732747146582e-05,621.0,589.5,CONTSUB4
PRESCR4__2,0.0,601.0,0.0001010182483632166,578.0,589.5,PRESCR4
GPMED9__3,0.0,601.0,9.740986195188312e-05,579.0,590.0,GPMED9
CONTSUB5__8,0.0011206112009320979,523.0,4.008500674551368e-05,657.0,590.0,CONTSUB5
SURGDAY__1,0.0,601.0,9.703290511267782e-05,580.0,590.5,SURGDAY
COMSTAT16__3,0.0022074220430405855,445.0,1.3621251502722545e-05,738.0,591.5,COMSTAT16
RX6V1C2__218,0.002781343537240577,401.0,0.0,785.0,593.0,RX6V1C2
PRESCR15__2,0.001555070010489823,496.0,2.5861482459506277e-05,691.0,593.5,PRESCR15
PRESCR12__2,0.0009828171666095287,536.0,4.2536523044797246e-05,651.0,593.5,PRESCR12
RX5V1C2__057,0.0,601.0,9.201230895059583e-05,587.0,594.0,RX5V1C2
TOTPROC__4,0.0,601.0,8.483632269176823e-05,590.0,595.5,TOTPROC
RX6V1C2__057,0.0,601.0,8.437498287157986e-05,591.0,596.0,RX6V1C2
RX8V1C2__105,0.002186254783586028,449.0,1.3023086711474937e-05,743.0,596.0,RX8V1C2
COMSTAT10__3,0.002740284792665193,407.0,0.0,785.0,596.0,COMSTAT10
COMSTAT2__3,0.0,601.0,8.409627309239314e-05,592.0,596.5,COMSTAT2
RX1V3C3__204,0.0010493938295450533,529.0,3.5172561830417565e-05,665.0,597.0,RX1V3C3
RX4V1C2__115,0.0,601.0,8.291899352350089e-05,594.0,597.5,RX4V1C2
CONTSUB12__2,0.0010968183419144406,524.0,3.308785373309174e-05,671.0,597.5,CONTSUB12
CONTSUB6__3,0.0027202346330281735,410.0,0.0,785.0,597.5,CONTSUB6
SKINADH__Yes,0.0,601.0,8.221866325559413e-05,595.0,598.0,SKINADH
PRESCR2__3,0.0,601.0,8.210605161302824e-05,596.0,598.5,PRESCR2
CONTSUB10__1,0.002673251349736061,412.0,0.0,785.0,598.5,CONTSUB10
PRESCR6__2,0.0,601.0,8.053549870275651e-05,597.0,599.0,PRESCR6
COMSTAT9__2,0.0,601.0,7.656725362100854e-05,599.0,600.0,COMSTAT9
GPMED13__2,0.0,601.0,7.589401041340948e-05,600.0,600.5,GPMED13
CONTSUB9__4,0.0,601.0,7.571529863786393e-05,601.0,601.0,CONTSUB9
GPMED15__3,0.002328480291810431,435.0,5.213761949123975e-06,767.0,601.0,GPMED15
CONTSUB6__2,0.0,601.0,7.55403995327697e-05,602.0,601.5,CONTSUB6
RX17V1C1__040,0.0011954231989539377,522.0,2.9511641017332706e-05,682.0,602.0,RX17V1C1
RACEUN__5,0.0,601.0,7.534275098633509e-05,603.0,602.0,RACEUN
RX7V1C2__040,0.0,601.0,7.253230924014028e-05,606.0,603.5,RX7V1C2
RX17V1C1__358,0.0,601.0,7.166005968325823e-05,608.0,604.5,RX17V1C1
PRESCR4__3,0.0,601.0,7.133169283374204e-05,609.0,605.0,PRESCR4
CONTSUB12__4,0.0006118545721354174,569.0,4.6621371017428416e-05,643.0,606.0,CONTSUB12
RX2CAT3__265,0.00241979758161337,427.0,0.0,785.0,606.0,RX2CAT3
RX3V1C2__358,0.002416086765739678,428.0,2.600268116228545e-06,784.0,606.0,RX3V1C2
RX7V1C2__358,0.0021876358480075186,448.0,5.378787948383894e-06,766.0,607.0,RX7V1C2
RX2V3C3__185,0.0024104942140183994,429.0,0.0,785.0,607.0,RX2V3C3
HHSMUE__2,0.0,601.0,6.737066963030234e-05,613.0,607.0,HHSMUE
PRESCR1__3,0.0,601.0,6.466144586823813e-05,615.0,608.0,PRESCR1
RX3V1C3__040,0.0010106916424035273,531.0,2.8194711820712614e-05,685.0,608.0,RX3V1C3
INJURY_ENC__4,0.0006705812753495799,564.0,4.1319572156304237e-05,653.0,608.5,INJURY_ENC
RX4V1C2__218,0.0,601.0,6.34112013899689e-05,618.0,609.5,RX4V1C2
GPMED14__3,0.0016728660722711286,488.0,1.484788320730326e-05,732.0,610.0,GPMED14
RX7V1C2__001,0.0,601.0,6.326598846672377e-05,619.0,610.0,RX7V1C2
CONTSUB13__7,0.0023135917921066618,439.0,0.0,785.0,612.0,CONTSUB13
CONTSUB1__7,0.0,601.0,6.036545574751798e-05,624.0,612.5,CONTSUB1
RX4V1C2__254,0.0013898347430754132,508.0,1.703796929797669e-05,720.0,614.0,RX4V1C2
RX5V1C2__105,0.0022150055149419146,444.0,0.0,785.0,614.5,RX5V1C2
RACEUN__6,0.0,601.0,5.602077279723151e-05,629.0,615.0,RACEUN
COMSTAT8__2,0.0,601.0,5.4168528293479526e-05,632.0,616.5,COMSTAT8
CONTSUB9__3,0.0,601.0,5.4064899230910724e-05,633.0,617.0,CONTSUB9
RX5V1C2__242,0.0017127367548079864,485.0,1.0563580287067814e-05,750.0,617.5,RX5V1C2
INJURY_ENC__5,0.0021764965435007166,450.0,0.0,785.0,617.5,INJURY_ENC
RX2V3C3__374,0.0021629445598538855,451.0,0.0,785.0,618.0,RX2V3C3
RX17V1C1__081,0.0021183904118580177,453.0,0.0,785.0,619.0,RX17V1C1
RX3V2C3__433,0.0,601.0,5.022108829203406e-05,637.0,619.0,RX3V2C3
TOTPROC__5,0.0,601.0,4.893702070413292e-05,639.0,620.0,TOTPROC
PRESCR11__2,0.0004829590687420726,574.0,3.5089146435346165e-05,666.0,620.0,PRESCR11
GPMED11__3,0.0002762170018582033,581.0,3.8518406352443975e-05,660.0,620.5,GPMED11
CONTSUB15__7,0.0015249841095894556,500.0,1.2517929536476954e-05,745.0,622.5,CONTSUB15
RX5V1C2__001,0.0,601.0,4.6567166695732985e-05,645.0,623.0,RX5V1C2
CONTSUB8__8,0.0018461575330093183,476.0,4.967914464886062e-06,771.0,623.5,CONTSUB8
PAYTYPER__4,0.0,601.0,4.318846930774838e-05,649.0,625.0,PAYTYPER
PRESCR14__3,0.0019715646354661054,465.0,0.0,785.0,625.0,PRESCR14
RX6V1C2__242,0.0,601.0,4.3024194505970554e-05,650.0,625.5,RX6V1C2
PRESCR16__5,0.0,601.0,4.1765362443685874e-05,652.0,626.5,PRESCR16
COMSTAT6__3,0.0010967542358482074,525.0,1.604793620181955e-05,728.0,626.5,COMSTAT6
RX6V1C2__358,0.0,601.0,4.124380487406129e-05,654.0,627.5,RX6V1C2
RX3V1C2__087,0.0,601.0,4.0992352625670705e-05,655.0,628.0,RX3V1C2
CONTSUB14__7,0.0018652778274659276,474.0,0.0,785.0,629.5,CONTSUB14
RX1CAT3__204,0.0,601.0,3.9875696302181874e-05,658.0,629.5,RX1CAT3
CONTSUB7__8,0.0018556561401303906,475.0,0.0,785.0,630.0,CONTSUB7
PRDIAG1__Yes,0.0,601.0,3.785586160572958e-05,662.0,631.5,PRDIAG1
RX7V1C2__081,0.0,601.0,3.447143466457391e-05,667.0,634.0,RX7V1C2
CONTSUB13__5,0.001340768515133428,510.0,8.153017984743158e-06,760.0,635.0,CONTSUB13
CONTSUB9__2,0.0,601.0,3.326710932932375e-05,670.0,635.5,CONTSUB9
CONTSUB3__3,0.001677238243112722,487.0,0.0,785.0,636.0,CONTSUB3
PRDIAG3__Yes,0.0006864118059608515,560.0,1.9174897141987205e-05,714.0,637.0,PRDIAG3
RX1V3C3__197,0.0,601.0,3.255547481887016e-05,673.0,637.0,RX1V3C3
PRESCR13__2,0.0,601.0,3.228997626714926e-05,674.0,637.5,PRESCR13
PRESCR5__2,0.0,601.0,3.152494622160609e-05,676.0,638.5,PRESCR5
RX1V1C3__105,0.0016345720492350058,492.0,0.0,785.0,638.5,RX1V1C3
GPMED17__2,0.0,601.0,3.122673081118582e-05,678.0,639.5,GPMED17
PRESCR8__2,0.0,601.0,3.083476702868205e-05,679.0,640.0,PRESCR8
PRESCR6__3,0.0,601.0,3.0075499456872185e-05,680.0,640.5,PRESCR6
CONTSUB12__5,0.0009980570378660403,535.0,1.0779610851310843e-05,748.0,641.5,CONTSUB12
RX3V1C2__097,0.0,601.0,2.9166938743301573e-05,683.0,642.0,RX3V1C2
COMSTAT11__2,0.0006314269845657527,566.0,1.7080032147814595e-05,718.0,642.0,COMSTAT11
RACEUN__4,0.0,601.0,2.7400118647944956e-05,686.0,643.5,RACEUN
PRESCR16__2,0.0,601.0,2.6967990165582862e-05,687.0,644.0,PRESCR16
CONTSUB9__7,0.00145435658742743,505.0,0.0,785.0,645.0,CONTSUB9
COMSTAT16__2,0.001339072718692158,511.0,4.265389661970165e-06,779.0,645.0,COMSTAT16
RX17V1C1__087,0.0,601.0,2.6516340592503787e-05,689.0,645.0,RX17V1C1
CONTSUB3__7,0.0,601.0,2.5542162010308124e-05,692.0,646.5,CONTSUB3
CONTSUB11__2,0.0,601.0,2.434069597134594e-05,695.0,648.0,CONTSUB11
RX8V1C2__133,0.0,601.0,2.429894389701844e-05,696.0,648.5,RX8V1C2
CONTSUB15__2,0.0007643284201765965,551.0,1.167055099261134e-05,747.0,649.0,CONTSUB15
RX8V1C2__057,0.0,601.0,2.419048381432423e-05,697.0,649.0,RX8V1C2
RX17V1C1__105,0.0013252900180535931,514.0,0.0,785.0,649.5,RX17V1C1
RX8V1C2__115,0.0,601.0,2.3839136047164735e-05,700.0,650.5,RX8V1C2
PRESCR17__3,0.0012995710231036295,516.0,0.0,785.0,650.5,PRESCR17
RX17V1C1__097,0.0,601.0,2.37535410374925e-05,701.0,651.0,RX17V1C1
RX17V1C1__115,0.0,601.0,2.3618421513584795e-05,702.0,651.5,RX17V1C1
RX6V1C2__001,0.0,601.0,2.3115234550576913e-05,703.0,652.0,RX6V1C2
RX5V1C2__097,0.0,601.0,2.310001905403595e-05,704.0,652.5,RX5V1C2
CONTSUB10__2,0.0,601.0,2.224437930906268e-05,706.0,653.5,CONTSUB10
RX5V1C2__218,0.0,601.0,2.1350275748538245e-05,707.0,654.0,RX5V1C2
