,mutual_information,mutual_information_rank,tree_importance,tree_importance_rank,combined_rank,source_variable
PRESCR10__1,0.014621367474795033,125.0,0.0002171863500873395,483.0,304.0,PRESCR10
VDAYR__6,0.0034104529955418794,370.0,0.000864253590296566,239.0,304.5,VDAYR
TOTPROC__2,0.0041022945275253075,332.0,0.0007436153142142484,277.0,304.5,TOTPROC
CONTSUB12__6,0.00813726023595751,206.0,0.00036823151938118574,404.0,305.0,CONTSUB12
RX7CAT2__frequency,0.005204089100164788,288.0,0.0006093248858369064,322.0,305.0,RX7CAT2
TOTCHRON__1,0.0030948971980253592,382.0,0.00092236979056443,230.0,306.0,TOTCHRON
OSTPRSIS__Yes,0.007299713077526526,224.0,0.000390815717927549,392.0,308.0,OSTPRSIS
BPDIAS,0.0,601.0,0.0087934456486565,16.0,308.5,BPDIAS
RX2V1C2__frequency,0.0020924208623034346,456.0,0.0012383317446160098,162.0,309.0,RX2V1C2
RX14V2C1__frequency,0.006542341952587183,248.0,0.00041986871620122094,377.0,312.5,RX14V2C1
COMSTAT11__1,0.009590571448760299,180.0,0.00028149718224910016,445.0,312.5,COMSTAT11
PULSE,0.0,601.0,0.0067030958450856526,25.0,313.0,PULSE
RX13V3C1__frequency,0.009337652123028173,185.0,0.0002934287197498297,442.0,313.5,RX13V3C1
TOTCHRON__8,0.009753050923314355,177.0,0.0002639100976438588,452.0,314.5,TOTCHRON
COMSTAT12__1,0.016094693196536447,112.0,0.00016678121165260027,519.0,315.5,COMSTAT12
FLUTEST__Yes,0.002114240170050463,454.0,0.00109317827164538,177.0,315.5,FLUTEST
CONTSUB15__6,0.009350490274062206,184.0,0.0002703202742254393,448.0,316.0,CONTSUB15
REGION__1,0.0019146708149104796,467.0,0.0012135617788469682,165.0,316.0,REGION
TEMPF,0.0,601.0,0.006119150177552581,31.0,316.0,TEMPF
INCPHYS__1,0.0026552834466069264,414.0,0.0009410568002302571,222.0,318.0,INCPHYS
RX3V1C2__122,0.005360629963004904,282.0,0.0004765204485563443,354.0,318.0,RX3V1C2
NEBUTHER__Yes,0.004183745709733566,330.0,0.0006499986341848707,307.0,318.5,NEBUTHER
RACER__2,0.003725101360769534,351.0,0.0007056058974868945,287.0,319.0,RACER
GPMED12__1,0.006631900244801869,246.0,0.0003846351082997368,395.0,320.5,GPMED12
