model,interpretability,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier_score,cv_roc_auc_mean,cv_roc_auc_std,training_time_seconds
lightgbm,medium,0.9330282861896838,0.7716262975778547,0.7012578616352201,0.9683604985618408,0.7347611202635914,0.9648510284194721,0.8274761599325219,0.052812447645099125,0.9518025320314768,0.007059248029356874,74.92199999999866
catboost,medium,0.9089018302828619,0.6097560975609756,0.8647798742138365,0.9156279961649089,0.7152145643693107,0.9608666944047469,0.8135374101652528,0.06681714620782861,0.9452556994686004,0.007425954174299557,485.3119999999981
xgboost,medium,0.9305324459234608,0.7870722433460076,0.6509433962264151,0.9731543624161074,0.7125645438898451,0.9606601663078808,0.8105878926345994,0.0516049824655056,0.9501049811946857,0.007624785526738135,109.625
stacking_ensemble,low (meta-ensemble),0.93261231281198,0.8023255813953488,0.6509433962264151,0.9755512943432406,0.71875,0.9552301356150918,0.7873901386506578,0.0529018327352067,,,109.43699999999808
gradient_boosting,medium,0.9255407653910149,0.7564575645756457,0.6446540880503144,0.9683604985618408,0.6960950764006791,0.9514900173061499,0.7669182983481588,0.05573132534244833,0.9412467539292427,0.007640646745698713,1219.8439999999973
random_forest,medium,0.9222129783693843,0.7835497835497836,0.5691823899371069,0.9760306807286673,0.6593806921675774,0.9492197157449784,0.754990347750925,0.058119134088122845,0.9383046749321371,0.005645646515289054,155.10899999999674
logistic_regression,high,0.8668885191347754,0.4981751824817518,0.8584905660377359,0.8681687440076702,0.6304849884526559,0.9387199479006494,0.7186737913481908,0.09843685397123379,0.9243088327826701,0.007738913962170305,146.07800000000134
decision_tree,high,0.8302828618968386,0.42694805194805197,0.8270440251572327,0.8307766059443912,0.563169164882227,0.8930282446016269,0.585691561547487,0.12586582204382563,0.8758856626880853,0.0067436800970279275,25.0309999999954
