variable_name,label,pandas_dtype,non_null_count,missing_count,missing_percentage,n_unique,role
RX9CAT1,"For RX9, MULTUM drug category #1 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,150,general
RX9CAT2,"For RX9, MULTUM drug category #2 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,31,general
RX9CAT3,"For RX9, MULTUM drug category #3 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,6,general
RX9CAT4,"For RX9, MULTUM drug category #4 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,2,general
RX9V1C1,"For RX9, level 1 of MULTUM drug category #1 (broad level)",str,16025,0,0.0,20,general
RX9V1C2,"For RX9, level 1 of MULTUM drug category #2 (broad level)",str,16025,0,0.0,13,general
RX9V1C3,"For RX9, level 1 of MULTUM drug category #3 (broad level)",str,16025,0,0.0,4,general
RX9V1C4,"For RX9, level 1 of MULTUM drug category #4 (broad level)",str,16025,0,0.0,2,general
RX9V2C1,"For RX9, level 2 of MULTUM drug category #1 (intermediate level)",str,16025,0,0.0,96,general
RX9V2C2,"For RX9, level 2 of MULTUM drug category #2 (intermediate level)",str,16025,0,0.0,26,general
RX9V2C3,"For RX9, level 2 of MULTUM drug category #3 (intermediate level)",str,16025,0,0.0,5,general
RX9V2C4,"For RX9, level 2 of MULTUM drug category #4 (intermediate level)",str,16025,0,0.0,2,general
RX9V3C1,"For RX9, level 3 of MULTUM drug category #1 (detailed level)",str,16025,0,0.0,88,general
RX9V3C2,"For RX9, level 3 of MULTUM drug category #2 (detailed level)",str,16025,0,0.0,17,general
RX9V3C3,"For RX9, level 3 of MULTUM drug category #3 (detailed level)",str,16025,0,0.0,5,general
RX9V3C4,"For RX9, level 3 of MULTUM drug category #4 (detailed level)",str,16025,0,0.0,2,general
DRUGID10,Drug ID code for medication #10,str,16025,0,0.0,257,general
PRESCR10,Prescription status code for medication #10,float64,646,15379,95.97,5,general
CONTSUB10,Controlled substance status code for medication #10,float64,646,15379,95.97,7,general
COMSTAT10,Composition status code for medication #10,float64,646,15379,95.97,3,general
RX10CAT1,"For RX10, MULTUM drug category #1 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,133,general
RX10CAT2,"For RX10, MULTUM drug category #2 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,29,general
RX10CAT3,"For RX10, MULTUM drug category #3 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,7,general
RX10CAT4,"For RX10, MULTUM drug category #4 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,3,general
RX10V1C1,"For RX10, level 1 of MULTUM drug category #1 (broad level)",str,16025,0,0.0,19,general
RX10V1C2,"For RX10, level 1 of MULTUM drug category #2 (broad level)",str,16025,0,0.0,14,general
RX10V1C3,"For RX10, level 1 of MULTUM drug category #3 (broad level)",str,16025,0,0.0,5,general
RX10V1C4,"For RX10, level 1 of MULTUM drug category #4 (broad level)",str,16025,0,0.0,3,general
RX10V2C1,"For RX10, level 2 of MULTUM drug category #1 (intermediate level)",str,16025,0,0.0,85,general
RX10V2C2,"For RX10, level 2 of MULTUM drug category #2 (intermediate level)",str,16025,0,0.0,25,general
RX10V2C3,"For RX10, level 2 of MULTUM drug category #3 (intermediate level)",str,16025,0,0.0,6,general
RX10V2C4,"For RX10, level 2 of MULTUM drug category #4 (intermediate level)",str,16025,0,0.0,3,general
RX10V3C1,"For RX10, level 3 of MULTUM drug category #1 (detailed level)",str,16025,0,0.0,78,general
RX10V3C2,"For RX10, level 3 of MULTUM drug category #2 (detailed level)",str,16025,0,0.0,13,general
RX10V3C3,"For RX10, level 3 of MULTUM drug category #3 (detailed level)",str,16025,0,0.0,4,general
RX10V3C4,"For RX10, level 3 of MULTUM drug category #4 (detailed level)",str,16025,0,0.0,3,general
DRUGID11,Drug ID code for medication #11,str,16025,0,0.0,226,general
PRESCR11,Prescription status code for medication #11,float64,536,15489,96.66,4,general
CONTSUB11,Controlled substance status code for medication #11,float64,536,15489,96.66,7,general
COMSTAT11,Composition status code for medication #11,float64,536,15489,96.66,3,general
RX11CAT1,"For RX11, MULTUM drug category #1 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,130,general
RX11CAT2,"For RX11, MULTUM drug category #2 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,32,general
RX11CAT3,"For RX11, MULTUM drug category #3 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,7,general
RX11CAT4,"For RX11, MULTUM drug category #4 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,3,general
RX11V1C1,"For RX11, level 1 of MULTUM drug category #1 (broad level)",str,16025,0,0.0,19,general
RX11V1C2,"For RX11, level 1 of MULTUM drug category #2 (broad level)",str,16025,0,0.0,13,general
RX11V1C3,"For RX11, level 1 of MULTUM drug category #3 (broad level)",str,16025,0,0.0,5,general
RX11V1C4,"For RX11, level 1 of MULTUM drug category #4 (broad level)",str,16025,0,0.0,3,general
RX11V2C1,"For RX11, level 2 of MULTUM drug category #1 (intermediate level)",str,16025,0,0.0,81,general
RX11V2C2,"For RX11, level 2 of MULTUM drug category #2 (intermediate level)",str,16025,0,0.0,28,general
RX11V2C3,"For RX11, level 2 of MULTUM drug category #3 (intermediate level)",str,16025,0,0.0,6,general
RX11V2C4,"For RX11, level 2 of MULTUM drug category #4 (intermediate level)",str,16025,0,0.0,3,general
RX11V3C1,"For RX11, level 3 of MULTUM drug category #1 (detailed level)",str,16025,0,0.0,78,general
RX11V3C2,"For RX11, level 3 of MULTUM drug category #2 (detailed level)",str,16025,0,0.0,16,general
RX11V3C3,"For RX11, level 3 of MULTUM drug category #3 (detailed level)",str,16025,0,0.0,4,general
RX11V3C4,"For RX11, level 3 of MULTUM drug category #4 (detailed level)",str,16025,0,0.0,3,general
DRUGID12,Drug ID code for medication #12,str,16025,0,0.0,205,general
PRESCR12,Prescription status code for medication #12,float64,460,15565,97.13,5,general
CONTSUB12,Controlled substance status code for medication #12,float64,460,15565,97.13,6,general
COMSTAT12,Composition status code for medication #12,float64,460,15565,97.13,3,general
RX12CAT1,"For RX12, MULTUM drug category #1 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,116,general
RX12CAT2,"For RX12, MULTUM drug category #2 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,26,general
