variable_name,n_unique,missing_count,missing_percentage,top_values,rare_category_count
CANCER,2,0,0.0,0.0=15277 (95.3%); 1.0=748 (4.7%),0
CEBVD,2,0,0.0,0.0=15416 (96.2%); 1.0=609 (3.8%),0
CKD,2,0,0.0,0.0=15366 (95.9%); 1.0=659 (4.1%),0
COPD,2,0,0.0,0.0=15142 (94.5%); 1.0=883 (5.5%),0
CHF,2,0,0.0,0.0=15382 (96.0%); 1.0=643 (4.0%),0
CAD,2,0,0.0,0.0=15001 (93.6%); 1.0=1024 (6.4%),0
DEPRN,2,0,0.0,0.0=14004 (87.4%); 1.0=2021 (12.6%),0
DIABTYP1,2,0,0.0,0.0=15900 (99.2%); 1.0=125 (0.8%),1
DIABTYP2,2,0,0.0,0.0=14887 (92.9%); 1.0=1138 (7.1%),0
DIABTYP0,2,0,0.0,0.0=15216 (95.0%); 1.0=809 (5.0%),0
ESRD,2,0,0.0,0.0=15841 (98.9%); 1.0=184 (1.1%),0
HPE,2,0,0.0,0.0=15735 (98.2%); 1.0=290 (1.8%),0
EDHIV,2,0,0.0,0.0=15881 (99.1%); 1.0=144 (0.9%),1
HYPLIPID,2,0,0.0,0.0=14117 (88.1%); 1.0=1908 (11.9%),0
HTN,2,0,0.0,0.0=11722 (73.1%); 1.0=4303 (26.9%),0
OBESITY,2,0,0.0,0.0=14834 (92.6%); 1.0=1191 (7.4%),0
OSA,2,0,0.0,0.0=15476 (96.6%); 1.0=549 (3.4%),0
OSTPRSIS,2,0,0.0,0.0=15847 (98.9%); 1.0=178 (1.1%),0
SUBSTAB,2,0,0.0,0.0=14711 (91.8%); 1.0=1314 (8.2%),0
NOCHRON,3,0,0.0,0.0=8534 (53.3%); 1.0=7232 (45.1%); 2.0=259 (1.6%),0
TOTCHRON,14,0,0.0,0.0=7232 (45.1%); 1.0=3283 (20.5%); 2.0=1991 (12.4%); 3.0=1280 (8.0%); 4.0=838 (5.2%),5
DIAGSCRN,3,0,0.0,1.0=12810 (79.9%); 0.0=2990 (18.7%); 2.0=225 (1.4%),0
ABG,2,0,0.0,0.0=15685 (97.9%); 1.0=340 (2.1%),0
BAC,2,0,0.0,0.0=15549 (97.0%); 1.0=476 (3.0%),0
BMP,2,0,0.0,0.0=14044 (87.6%); 1.0=1981 (12.4%),0
BNP,2,0,0.0,0.0=15331 (95.7%); 1.0=694 (4.3%),0
BUNCREAT,2,0,0.0,0.0=15561 (97.1%); 1.0=464 (2.9%),0
CARDENZ,2,0,0.0,0.0=15010 (93.7%); 1.0=1015 (6.3%),0
CBC,2,0,0.0,0.0=9053 (56.5%); 1.0=6972 (43.5%),0
CMP,2,0,0.0,0.0=11024 (68.8%); 1.0=5001 (31.2%),0
BLOODCX,2,0,0.0,0.0=15085 (94.1%); 1.0=940 (5.9%),0
TRTCX,2,0,0.0,0.0=15858 (99.0%); 1.0=167 (1.0%),0
URINECX,2,0,0.0,0.0=14256 (89.0%); 1.0=1769 (11.0%),0
